timestamp,temperature_C,humidity_%,solar_irradiation_W/m2
2020-01-01 00:00:00,25.34,60.61,304.67
2020-01-01 00:15:00,22.2,63.59,447.47
2020-01-01 00:30:00,24.21,51.12,647.55
2020-01-01 00:45:00,24.99,76.55,551.44
2020-01-01 01:00:00,23.56,60.5,481.57
2020-01-01 01:15:00,23.22,57.56,232.92
2020-01-01 01:30:00,23.84,57.22,373.28
2020-01-01 01:45:00,22.86,54.6,404.89
2020-01-01 02:00:00,19.16,66.7,489.87
2020-01-01 02:15:00,19.69,57.87,505.46
2020-01-01 02:30:00,19.78,60.12,428.38
2020-01-01 02:45:00,22.68,50.3,632.05
2020-01-01 03:00:00,24.79,53.29,494.56
2020-01-01 03:15:00,25.82,60.87,187.02
2020-01-01 03:30:00,23.06,52.46,5.77
2020-01-01 03:45:00,22.97,64.6,459.53
2020-01-01 04:00:00,23.03,61.68,754.39
2020-01-01 04:15:00,15.93,62.25,467.11
2020-01-01 04:30:00,-0.47,8.43,1497.71
2020-01-01 04:45:00,24.58,83.51,191.97
2020-01-01 05:00:00,21.1,54.15,190.39
2020-01-01 05:15:00,20.24,68.6,571.39
2020-01-01 05:30:00,22.91,70.52,228.43
2020-01-01 05:45:00,24.12,58.38,296.08
2020-01-01 06:00:00,22.29,46.58,467.87
2020-01-01 06:15:00,20.1,55.34,590.68
2020-01-01 06:30:00,19.03,66.69,369.02
2020-01-01 06:45:00,19.96,73.49,366.16
2020-01-01 07:00:00,18.63,40.15,319.2
2020-01-01 07:15:00,25.89,62.8,459.78
2020-01-01 07:30:00,20.57,52.39,428.71
2020-01-01 07:45:00,25.12,67.12,650.24
2020-01-01 08:00:00,17.27,48.28,327.21
2020-01-01 08:15:00,20.75,52.89,367.92
2020-01-01 08:30:00,18.62,48.13,386.78
2020-01-01 08:45:00,20.42,75.33,392.07
2020-01-01 09:00:00,41.71,91.32,1520.01
2020-01-01 09:15:00,58.27,97.41,0.0
2020-01-01 09:30:00,17.64,61.53,317.25
2020-01-01 09:45:00,-4.8,3.06,0.0
2020-01-01 10:00:00,22.9,101.51,101.47
2020-01-01 10:15:00,21.29,75.42,330.01
2020-01-01 10:30:00,26.12,71.86,118.19
2020-01-01 10:45:00,21.17,46.99,177.02
2020-01-01 11:00:00,24.39,55.94,255.31
2020-01-01 11:15:00,22.43,68.8,287.73
2020-01-01 11:30:00,20.66,61.43,475.47
2020-01-01 11:45:00,19.11,81.24,336.45
2020-01-01 12:00:00,22.32,69.11,628.8
2020-01-01 12:15:00,22.49,59.26,353.15
2020-01-01 12:30:00,22.8,74.84,415.51
2020-01-01 12:45:00,23.29,76.33,611.52
2020-01-01 13:00:00,55.12,90.1,1548.57
2020-01-01 13:15:00,20.69,70.53,331.3
2020-01-01 13:30:00,20.86,54.85,221.1
2020-01-01 13:45:00,22.05,79.2,290.48
2020-01-01 14:00:00,57.48,6.33,0.0
2020-01-01 14:15:00,20.66,54.86,310.79
2020-01-01 14:30:00,50.34,95.03,0.0
2020-01-01 14:45:00,18.29,51.05,684.24
2020-01-01 15:00:00,27.11,50.13,332.23
2020-01-01 15:15:00,18.42,55.89,370.55
2020-01-01 15:30:00,46.8,4.94,0.0
2020-01-01 15:45:00,20.37,44.93,367.19
2020-01-01 16:00:00,23.75,68.42,723.24
2020-01-01 16:15:00,20.91,68.03,514.11
2020-01-01 16:30:00,21.48,51.09,316.92
2020-01-01 16:45:00,23.49,58.8,407.14
2020-01-01 17:00:00,19.15,62.79,576.74
2020-01-01 17:15:00,21.7,61.79,439.04
2020-01-01 17:30:00,17.52,69.42,408.2
2020-01-01 17:45:00,18.81,50.41,175.37
2020-01-01 18:00:00,25.68,74.34,215.94
2020-01-01 18:15:00,19.2,50.66,371.11
2020-01-01 18:30:00,27.31,58.6,574.35
2020-01-01 18:45:00,21.19,65.89,66.3
2020-01-01 19:00:00,18.79,66.32,298.83
2020-01-01 19:15:00,13.97,49.46,498.62
2020-01-01 19:30:00,23.49,69.8,437.34
2020-01-01 19:45:00,23.58,70.72,467.45
2020-01-01 20:00:00,20.34,61.63,402.46
2020-01-01 20:15:00,19.91,58.01,322.2
2020-01-01 20:30:00,19.23,47.43,677.8
2020-01-01 20:45:00,20.28,73.39,457.64
2020-01-01 21:00:00,20.08,55.54,633.1
2020-01-01 21:15:00,24.04,55.85,167.19
2020-01-01 21:30:00,23.17,52.44,445.9
2020-01-01 21:45:00,26.13,59.11,337.78
2020-01-01 22:00:00,20.2,54.5,289.46
2020-01-01 22:15:00,-4.13,8.71,0.0
2020-01-01 22:30:00,-4.26,2.2,1402.91
2020-01-01 22:45:00,17.43,47.86,298.3
2020-01-01 23:00:00,55.09,9.45,0.0
2020-01-01 23:15:00,22.17,59.66,229.08
2020-01-01 23:30:00,18.56,72.48,384.36
2020-01-01 23:45:00,19.58,67.38,463.86
2020-01-02 00:00:00,18.41,58.36,318.91
2020-01-02 00:15:00,20.35,68.71,327.14
2020-01-02 00:30:00,20.2,56.33,695.56
2020-01-02 00:45:00,20.78,49.51,346.29
2020-01-02 01:00:00,25.47,86.47,330.48
2020-01-02 01:15:00,24.12,69.87,493.09
2020-01-02 01:30:00,20.72,64.0,239.7
2020-01-02 01:45:00,-8.75,96.29,1530.87
2020-01-02 02:00:00,18.85,64.33,284.81
2020-01-02 02:15:00,20.53,49.87,129.2
2020-01-02 02:30:00,20.5,55.82,405.44
2020-01-02 02:45:00,22.2,51.18,477.45
2020-01-02 03:00:00,22.54,50.45,316.53
2020-01-02 03:15:00,23.28,62.22,325.65
2020-01-02 03:30:00,24.68,73.54,585.48
2020-01-02 03:45:00,23.78,53.27,302.1
2020-01-02 04:00:00,20.27,47.81,450.88
2020-01-02 04:15:00,17.84,47.5,472.57
2020-01-02 04:30:00,22.33,54.54,496.9
2020-01-02 04:45:00,18.87,54.77,306.46
2020-01-02 05:00:00,18.84,61.08,172.69
2020-01-02 05:15:00,17.72,49.05,379.84
2020-01-02 05:30:00,18.01,59.25,417.29
2020-01-02 05:45:00,25.01,50.59,295.03
2020-01-02 06:00:00,24.11,51.27,418.74
2020-01-02 06:15:00,19.58,47.81,314.65
2020-01-02 06:30:00,22.82,37.09,472.84
2020-01-02 06:45:00,22.89,49.71,431.9
2020-01-02 07:00:00,18.34,46.62,616.25
2020-01-02 07:15:00,17.3,67.3,643.52
2020-01-02 07:30:00,23.78,65.06,506.59
2020-01-02 07:45:00,22.18,66.32,209.75
2020-01-02 08:00:00,24.18,62.17,454.74
2020-01-02 08:15:00,26.83,55.51,337.66
2020-01-02 08:30:00,18.62,59.56,477.57
2020-01-02 08:45:00,18.33,50.75,364.15
2020-01-02 09:00:00,25.6,60.09,500.07
2020-01-02 09:15:00,24.44,57.14,254.19
2020-01-02 09:30:00,19.37,65.72,338.96
2020-01-02 09:45:00,25.26,53.82,226.51
2020-01-02 10:00:00,22.33,76.91,347.63
2020-01-02 10:15:00,29.94,46.89,455.02
2020-01-02 10:30:00,18.41,77.77,342.05
2020-01-02 10:45:00,20.35,67.72,419.97
2020-01-02 11:00:00,23.87,64.05,648.61
2020-01-02 11:15:00,24.99,55.69,161.31
2020-01-02 11:30:00,15.83,52.39,132.13
2020-01-02 11:45:00,19.77,48.01,340.16
2020-01-02 12:00:00,19.45,55.1,603.98
2020-01-02 12:15:00,19.29,53.66,543.79
2020-01-02 12:30:00,20.32,55.57,613.34
2020-01-02 12:45:00,24.45,52.01,291.29
2020-01-02 13:00:00,25.3,69.53,514.26
2020-01-02 13:15:00,23.46,78.89,331.99
2020-01-02 13:30:00,25.97,62.35,313.5
2020-01-02 13:45:00,25.59,50.61,652.65
2020-01-02 14:00:00,1.51,1.16,0.0
2020-01-02 14:15:00,20.56,76.78,239.91
2020-01-02 14:30:00,21.61,47.67,491.6
2020-01-02 14:45:00,23.29,52.58,611.78
2020-01-02 15:00:00,19.7,81.85,349.25
2020-01-02 15:15:00,21.93,68.35,414.19
2020-01-02 15:30:00,18.57,73.69,169.33
2020-01-02 15:45:00,16.62,61.03,438.97
2020-01-02 16:00:00,41.22,99.09,0.0
2020-01-02 16:15:00,24.48,56.23,476.09
2020-01-02 16:30:00,23.67,77.02,617.12
2020-01-02 16:45:00,-1.28,6.85,0.0
2020-01-02 17:00:00,21.92,43.64,716.77
2020-01-02 17:15:00,21.33,63.61,510.48
2020-01-02 17:30:00,17.57,54.66,299.13
2020-01-02 17:45:00,20.57,63.49,635.63
2020-01-02 18:00:00,19.48,59.37,350.54
2020-01-02 18:15:00,22.86,65.29,421.55
2020-01-02 18:30:00,-8.78,94.68,0.0
2020-01-02 18:45:00,2.2,4.08,1567.19
2020-01-02 19:00:00,24.49,71.42,487.91
2020-01-02 19:15:00,18.13,55.95,560.08
2020-01-02 19:30:00,19.93,60.68,516.54
2020-01-02 19:45:00,23.71,44.72,156.2
2020-01-02 20:00:00,25.22,47.09,503.4
2020-01-02 20:15:00,15.45,56.93,569.08
2020-01-02 20:30:00,20.94,62.96,224.01
2020-01-02 20:45:00,-3.57,0.11,0.0
2020-01-02 21:00:00,19.56,52.82,148.36
2020-01-02 21:15:00,23.2,51.82,365.39
2020-01-02 21:30:00,24.66,50.73,479.56
2020-01-02 21:45:00,50.42,9.3,0.0
2020-01-02 22:00:00,16.6,84.84,232.95
2020-01-02 22:15:00,29.01,39.85,535.39
2020-01-02 22:30:00,24.92,70.06,395.78
2020-01-02 22:45:00,20.03,54.86,506.77
2020-01-02 23:00:00,23.93,66.24,139.63
2020-01-02 23:15:00,24.17,58.34,352.62
2020-01-02 23:30:00,16.01,43.81,144.65
2020-01-02 23:45:00,22.61,55.46,94.48
2020-01-03 00:00:00,23.8,67.47,140.54
2020-01-03 00:15:00,14.51,47.91,478.93
